"Name.x","Species","Hex.x","Category.x","Year","Month","CountMosq","positive"
"RJ21.MP1(1)","R","MP1","Higher",2021,"RJ",7,0
"RJ21.PH1(1)","R","PH1","Lower",2021,"RJ",6,0
"RJ21.PR1(1)","R","PR1","Lower",2021,"RJ",2,0
"RJ21.PR2(1)","R","PR2","Lower",2021,"RJ",9,0
"RJ21.PR2(2)","R","PR2","Lower",2021,"RJ",4,0
"RJ21.PR3(1)","R","PR3","Lower",2021,"RJ",4,0
"RJ21.SC1(1)","R","SC1","Equal",2021,"RJ",2,1
"RJ21.ST1(1)","R","ST1","Equal",2021,"RJ",1,0
"RJ22.AH1(1)","R","AH1","Equal",2022,"RJ",1,0
"RJ22.AH2(1)","R","AH2","Higher",2022,"RJ",1,0
"RJ22.AH3(1)","R","AH3","Equal",2022,"RJ",1,0
"RJ22.DP1(1)","R","DP1","Lower",2022,"RJ",5,0
"RJ22.DP2(1)","R","DP2","Higher",2022,"RJ",1,0
"RJ22.DP3(1)","R","DP3","Equal",2022,"RJ",2,0
"RJ22.DP4(1)","R","DP4","Lower",2022,"RJ",4,0
"RJ22.DP5(1)","R","DP5","Higher",2022,"RJ",2,0
"RJ22.EG1(1)","R","EG1","Equal",2022,"RJ",10,0
"RJ22.EG2(1)","R","EG2","Lower",2022,"RJ",2,0
"RJ22.EG3(1)","R","EG3","Higher",2022,"RJ",3,1
"RJ22.EG4(1)","R","EG4","Equal",2022,"RJ",1,0
"RJ22.HP1(1)","R","HP1","Higher",2022,"RJ",5,0
"RJ22.MP1(1)","R","MP1","Higher",2022,"RJ",2,0
"RJ22.PH1(1)","R","PH1","Lower",2022,"RJ",3,0
"RJ22.PR1(1)","R","PR1","Lower",2022,"RJ",7,1
"RJ22.PR2(1)","R","PR2","Lower",2022,"RJ",1,0
"RJ22.PR3(1)","R","PR3","Lower",2022,"RJ",1,1
"RJ22.SC1(1)","R","SC1","Equal",2022,"RJ",3,0
"RJ22.ST1(1)","R","ST1","Equal",2022,"RJ",2,1
